,char,dist,rand_pred_prob,model_pred_prob
93,s,0.04979685375899136,0.01,0.67
92,1,0.04736622677456893,0.0,0.6
91,a,0.04689793719340077,0.0,0.67
90,m,0.04673549531688035,0.0,0.63
89,b,0.036440602438896755,0.0,0.64
88,c,0.03615092217770743,0.0,0.65
87,d,0.034974911596357544,0.01,0.65
86,l,0.03200024618607084,0.0,0.61
85,t,0.03019875298476047,0.0,0.63
84,k,0.030112092511078912,0.0,0.6
83,2,0.029295837779239782,0.01,0.7
82,p,0.02872396214132184,0.0,0.61
81,f,0.02753554923316475,0.0,0.39
80,j,0.027471039924463248,0.0,0.58
79,r,0.027278818975232107,0.0,0.58
78,g,0.02468411639319755,0.0,0.62
77,0,0.02384554421729216,0.0,0.65
76,n,0.023765320953549163,0.0,0.58
75,h,0.021698554470205966,0.0,0.53
74,e,0.019804603120222402,0.0,0.39
73,3,0.019086735607409915,0.0,0.54
72,8,0.01854350648395122,0.0,0.68
71,w,0.017633329649805837,0.0,0.51
70,v,0.017568254061978598,0.0,0.48
69,9,0.0174626273073527,0.0,0.68
68,i,0.01563635154545335,0.0,0.44
67,4,0.015391758498022642,0.0,0.65
66,5,0.015295515465254435,0.0,0.59
65,7,0.01487838402867749,0.0,0.7
64,6,0.013851558345793557,0.0,0.63
63,z,0.012059353517494244,0.01,0.34
62,o,0.011800234887232518,0.0,0.42
61,q,0.011549081374037113,0.0,0.24
60,y,0.011149472032215259,0.0,0.46
59,x,0.010409319633479266,0.0,0.23
58,S,0.0092689102184388,0.0,0.52
57,M,0.008932225301440872,0.0,0.33
56,A,0.008820322964799362,0.0,0.25
55,u,0.007633748428916996,0.0,0.3
54,B,0.006464186685413801,0.0,0.38
53,D,0.006119264558299404,0.0,0.34
52,C,0.005861556393293364,0.0,0.39
51,L,0.0056745203282956135,0.0,0.35
50,P,0.005504995892935641,0.0,0.36
49,K,0.005359956343716615,0.0,0.34
48,T,0.005327667968432299,0.0,0.45
47,R,0.00498505979503498,0.0,0.31
46,J,0.00458383417398361,0.0,0.37
45,G,0.0045762155685794455,0.0,0.28
44,N,0.0043069492628961484,0.0,0.2
43,F,0.004015134117774884,0.0,0.25
42,H,0.0038065666553001925,0.0,0.22
41,E,0.0036200457066324246,0.0,0.21
40,V,0.0032948026512304948,0.0,0.28
39,I,0.0031122235634174454,0.0,0.17
38,W,0.0027664444594741617,0.0,0.19
37,O,0.0023989711673401736,0.0,0.08
36,Y,0.002151214166108377,0.0,0.08
35,Z,0.0020185804320689963,0.0,0.11
34,U,0.0017280617987037825,0.01,0.02
33,Q,0.00167136528147215,0.0,0.1
32,X,0.001574296667226996,0.0,0.02
31,$,0.001396174556598648,0.0,0.34
30,*,0.0010440280101655592,0.0,0.04
29,!,0.0008169779877245686,0.0,0.12
28,@,0.0005820268017119513,0.0,0.11
27,_,0.0005654093582090645,0.0,0.13
26,.,0.0005030744683271277,0.0,0.08
25,-,0.0003943232947877675,0.0,0.05
24,#,0.00028878723784525026,0.0,0.03
23,(,0.00022982792969229536,0.0,0.0
22,?,0.00020862095085207074,0.0,0.19
21,&,0.0001917849026764148,0.0,0.08
20,+,0.00014762559598625077,0.0,0.03
19,<,9.771977710021053e-05,0.0,0.02
18,;,9.405931162214126e-05,0.0,0.02
17,[,8.938372976467097e-05,0.0,0.0
16,",",8.918024137246571e-05,0.0,0.02
15,=,8.850000874709389e-05,0.0,0.0
14,/,8.582791545973583e-05,0.0,0.01
13,%,7.100116980825515e-05,0.0,0.01
12,~,5.452907515694347e-05,0.0,0.01
11,"""",4.080000403255854e-05,0.0,0.01
10,^,3.998837604536275e-05,0.0,0.01
9,{,3.439070107349953e-05,0.0,0.0
8,),3.3774421942820777e-05,0.0,0.01
7,`,2.9501165706510563e-05,0.0,0.02
6,',2.8384886526413204e-05,0.0,0.0
5,\,2.72348864127504e-05,0.0,0.01
4,],1.6859303991907953e-05,0.0,0.01
3,|,1.5910466688825197e-05,0.0,0.0
2,>,1.2802326846741607e-05,0.0,0.0
1,},1.072209408299767e-05,0.0,0.0
0,:,7.779070536303483e-07,0.0,0.02
